2012-04-21,20:12:00,OCEAN CITY MD,2,M2AM,201204,20,0,1
2012-04-21,20:36:00,OCEAN CITY MD,1,M2AM,201204,20,0,1
2012-04-21,21:05:00,INCOMING CL,1,M2AM,201204,21,1,0
2012-04-20,13:01:00,Toll Free CL,29,RM21,201204,13,0,1
2012-04-20,13:30:00,Toll Free CL,20,RM21,201204,13,0,1
2012-04-20,13:55:00,REDONDO CA,34,M2AM,201204,13,0,1
2012-04-20,14:29:00,Toll Free CL,9,RM21,201204,14,0,1
2012-04-20,16:02:00,INCOMING CL,43,M2AM,201204,16,1,0
2012-04-19,09:02:00,OCEAN CITY MD,2,M2AM,201204,9,0,1
2012-04-19,15:09:00,WILMINGTON DE,3,RM21,201204,15,0,1
2012-04-19,15:18:00,WILMINGTON DE,1,RM21,201204,15,0,1
2012-04-19,15:20:00,WILMINGTON DE,2,RM21,201204,15,0,1
2012-04-19,16:18:00,OCEAN CITY MD,6,M2AM,201204,16,0,1
2012-04-19,17:20:00,INCOMING CL,1,RM21,201204,17,1,0
2012-04-19,17:55:00,OCEAN CITY MD,2,M2AM,201204,17,0,1
2012-04-19,21:38:00,INCOMING CL,14,UNW9,201204,21,1,0
2012-04-18,13:07:00,PTCHARLTTE FL,3,M2AM,201204,13,0,1
2012-04-18,15:58:00,Toll Free CL,1,RM21,201204,15,0,1
2012-04-18,15:59:00,Toll Free CL,1,RM21,201204,15,0,1
2012-04-18,15:59:00,Toll Free CL,1,RM21,201204,15,0,1
2012-04-18,16:00:00,Toll Free CL,34,RM21,201204,16,0,1
2012-04-18,16:34:00,Toll Free CL,27,RM21,201204,16,0,1
2012-04-18,18:54:00,INCOMING CL,1,M2AM,201204,18,1,0
2012-04-18,21:58:00,Toll Free CL,13,UNW9,201204,21,0,1
2012-04-18,22:20:00,INCOMING CL,25,UNW9,201204,22,1,0
2012-04-17,13:03:00,INCOMING CL,9,RM21,201204,13,1,0
2012-04-17,19:09:00,MIAMI FL,2,M2AM,201204,19,0,1
2012-04-17,20:15:00,OCEAN CITY MD,3,M2AM,201204,20,0,1
2012-04-16,10:50:00,INCOMING CL,13,RM21,201204,10,1,0
2012-04-16,11:44:00,Toll Free CL,10,RM21,201204,11,0,1
2012-04-16,13:29:00,Toll Free CL,5,RM21,201204,13,0,1
2012-04-16,13:38:00,WILMINGTON DE,7,RM21,201204,13,0,1
2012-04-16,14:29:00,Toll Free CL,28,RM21,201204,14,0,1
2012-04-16,21:19:00,OCEAN CITY MD,1,M2AM,201204,21,0,1
2012-04-16,21:20:00,OCEAN CITY MD,1,M2AM,201204,21,0,1
2012-04-16,21:26:00,OCEAN CITY MD,2,M2AM,201204,21,0,1
2012-04-15,12:49:00,FTLAUDERDL FL,27,UNW9,201204,12,0,1
2012-04-15,19:31:00,BALACYNWYD PA,2,M2AM,201204,19,0,1
2012-04-15,19:41:00,FTLAUDERDL FL,1,UNW9,201204,19,0,1
2012-04-15,19:43:00,FTLAUDERDL FL,1,UNW9,201204,19,0,1
2012-04-14,13:32:00,CHICAGO IL,1,M2AM,201204,13,0,1
2012-04-14,13:53:00,INCOMING CL,21,M2AM,201204,13,1,0
2012-04-14,17:31:00,PITTSBURGH PA,3,M2AM,201204,17,0,1
2012-04-14,18:21:00,INCOMING CL,1,M2AM,201204,18,1,0
2012-04-14,20:52:00,INCOMING CL,2,M2AM,201204,20,1,0
2012-04-14,20:58:00,OCEAN CITY MD,1,M2AM,201204,20,0,1
2012-04-13,09:55:00,INCOMING CL,2,RM21,201204,9,1,0
2012-04-13,10:35:00,INCOMING CL,2,RM21,201204,10,1,0
2012-04-13,11:59:00,INCOMING CL,16,RM21,201204,11,1,0
2012-04-13,12:42:00,FTLAUDERDL FL,9,RM21,201204,12,0,1
2012-04-13,14:05:00,WILMINGTON DE,1,RM21,201204,14,0,1
2012-04-13,15:29:00,DELRAY BCH FL,1,M2AM,201204,15,0,1
2012-04-13,15:51:00,WILMINGTON DE,1,RM21,201204,15,0,1
2012-04-13,17:09:00,OCEAN CITY MD,2,M2AM,201204,17,0,1
2012-04-13,17:16:00,OCEAN CITY MD,1,M2AM,201204,17,0,1
2012-04-13,21:29:00,WILMINGTON DE,3,M2AM,201204,21,0,1
2012-04-12,10:00:00,Toll Free CL,27,RM21,201204,10,0,1
2012-04-12,10:55:00,FTLAUDERDL FL,2,RM21,201204,10,0,1
2012-04-12,10:59:00,FTLAUDERDL FL,11,RM21,201204,10,0,1
2012-04-12,11:30:00,Toll Free CL,28,RM21,201204,11,0,1
2012-04-12,14:00:00,Toll Free CL,5,RM21,201204,14,0,1
2012-04-12,14:05:00,Toll Free CL,14,RM21,201204,14,0,1
2012-04-12,15:00:00,Toll Free CL,65,RM21,201204,15,0,1
2012-04-12,20:22:00,PHILA PA,2,M2AM,201204,20,0,1
2012-04-12,20:51:00,INCOMING CL,4,RM21,201204,20,1,0
2012-04-11,21:25:00,OCEAN CITY MD,1,M2AM,201204,21,0,1
2012-04-10,15:00:00,Toll Free CL,63,RM21,201204,15,0,1
2012-04-10,22:03:00,SNFN GRHL CA,12,M2AM,201204,22,0,1
2012-04-10,22:36:00,INCOMING CL,3,M2AM,201204,22,1,0
2012-04-09,10:00:00,Toll Free CL,104,RM21,201204,10,0,1
2012-04-09,13:25:00,INCOMING CL,1,RM21,201204,13,1,0
2012-04-09,13:48:00,Toll Free CL,11,RM21,201204,13,0,1
2012-04-09,14:30:00,Toll Free CL,11,RM21,201204,14,0,1
2012-04-09,15:30:00,Toll Free CL,38,RM21,201204,15,0,1
2012-04-08,00:57:00,OCEAN CITY MD,2,M2AM,201204,0,0,1
2012-04-08,11:57:00,FTLAUDERDL FL,1,UNW9,201204,11,0,1
2012-04-08,11:58:00,FTLAUDERDL FL,12,UNW9,201204,11,0,1
2012-04-08,13:04:00,INCOMING CL,3,M2AM,201204,13,1,0
2012-04-08,19:39:00,REDONDO CA,1,M2AM,201204,19,0,1
2012-04-08,19:39:00,REDONDO CA,1,M2AM,201204,19,0,1
2012-04-08,23:21:00,FTLAUDERDL FL,2,UNW9,201204,23,0,1
2012-04-08,23:22:00,FTLAUDERDL FL,9,UNW9,201204,23,0,1
2012-04-07,17:55:00,SNFN GRHL CA,7,M2AM,201204,17,0,1
2012-04-07,20:16:00,INCOMING CL,5,M2AM,201204,20,1,0
2012-04-07,23:04:00,PHILA PA,4,M2AM,201204,23,0,1
2012-04-07,23:30:00,WILMINGTON DE,1,M2AM,201204,23,0,1
2012-04-06,10:52:00,INCOMING CL,1,RM21,201204,10,1,0
2012-04-06,12:38:00,FTLAUDERDL FL,2,RM21,201204,12,0,1
2012-04-06,12:50:00,FTLAUDERDL FL,17,RM21,201204,12,0,1
2012-04-06,13:36:00,INCOMING CL,4,RM21,201204,13,1,0
2012-04-06,14:07:00,INCOMING CL,1,RM21,201204,14,1,0
2012-04-06,14:09:00,INCOMING CL,2,RM21,201204,14,1,0
2012-04-06,14:29:00,Toll Free CL,1,RM21,201204,14,0,1
2012-04-06,14:31:00,Toll Free CL,6,RM21,201204,14,0,1
2012-04-06,16:00:00,Toll Free CL,3,RM21,201204,16,0,1
2012-04-06,17:44:00,INCOMING CL,4,M2AM,201204,17,1,0
2012-04-06,18:55:00,PTCHARLTTE FL,1,M2AM,201204,18,0,1
2012-04-06,19:03:00,PTCHARLTTE FL,1,M2AM,201204,19,0,1
2012-04-06,20:50:00,INCOMING CL,2,M2AM,201204,20,1,0
2012-04-06,23:16:00,INCOMING CL,7,UNW9,201204,23,1,0
2012-04-06,23:28:00,INCOMING CL,2,UNW9,201204,23,1,0
2012-04-05,08:12:00,INCOMING CL,1,M2AM,201204,8,1,0
2012-04-05,11:31:00,Toll Free CL,1,RM21,201204,11,0,1
2012-04-05,11:32:00,CHESTER NY,46,RM21,201204,11,0,1
2012-04-05,15:09:00,INCOMING CL,3,M2AM,201204,15,1,0
2012-04-05,16:13:00,PHILA PA,1,M2AM,201204,16,0,1
2012-04-05,16:21:00,INCOMING CL,2,M2AM,201204,16,1,0
2012-04-05,16:21:00,PHILA PA,1,M2AM,201204,16,0,1
2012-04-05,16:40:00,SNFN GRHL CA,10,M2AM,201204,16,0,1
